"Protocol","Flow Duration","Total Fwd Packet","Total Bwd packets","Total Length of Fwd Packet","Total Length of Bwd Packet","Fwd Packet Length Max","Fwd Packet Length Min","Fwd Packet Length Mean","Fwd Packet Length Std","Bwd Packet Length Max","Bwd Packet Length Min","Bwd Packet Length Mean","Bwd Packet Length Std","Flow Bytes/s","Flow Packets/s","Flow IAT Mean","Flow IAT Std","Flow IAT Max","Flow IAT Min","Fwd IAT Total","Fwd IAT Mean","Fwd IAT Std","Fwd IAT Max","Fwd IAT Min","Bwd IAT Total","Bwd IAT Mean","Bwd IAT Std","Bwd IAT Max","Bwd IAT Min","Fwd PSH Flags","Bwd PSH Flags","Fwd URG Flags","Bwd URG Flags","Fwd Header Length","Bwd Header Length","Fwd Packets/s","Bwd Packets/s","Packet Length Min","Packet Length Max","Packet Length Mean","Packet Length Std","Packet Length Variance","FIN Flag Count","SYN Flag Count","RST Flag Count","PSH Flag Count","ACK Flag Count","URG Flag Count","CWE Flag Count","ECE Flag Count","Down/Up Ratio","Average Packet Size","Fwd Segment Size Avg","Bwd Segment Size Avg","Fwd Bytes/Bulk Avg","Fwd Packet/Bulk Avg","Fwd Bulk Rate Avg","Bwd Bytes/Bulk Avg","Bwd Packet/Bulk Avg","Bwd Bulk Rate Avg","Subflow Fwd Packets","Subflow Fwd Bytes","Subflow Bwd Packets","Subflow Bwd Bytes","FWD Init Win Bytes","Bwd Init Win Bytes","Fwd Act Data Pkts","Fwd Seg Size Min","Active Mean","Active Std","Active Max","Active Min","Idle Mean","Idle Std","Idle Max","Idle Min","Label"
6.0,407.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4914.004914,407.0,0.0,407.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,2457.002457,2457.002457,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987.0,1047.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Normal"
6.0,9.0513641E7,32.0,41.0,3369.0,21725.0,261.0,0.0,105.28125,110.5540984,1460.0,0.0,529.8780488,618.9462091,277.2399798,0.80650827,1257133.903,7451707.33,4.5055648E7,5.0,9.0513169E7,2919779.645,1.124285525E7,4.5056049E7,276.0,9.051335E7,2262833.75,9937669.645,4.505612E7,5.0,1.0,0.0,0.0,0.0,640.0,820.0,0.353537872,0.452970398,0.0,1460.0,342.6351351,509.4929678,259583.0842,0.0,0.0,0.0,34.0,73.0,0.0,0.0,0.0,1.0,347.3287671,105.28125,529.8780488,0.0,0.0,0.0,0.0,45.0,56568.0,0.0,46.0,0.0,297.0,2640.0,1918.0,20.0,20.0,0.0,0.0,0.0,0.0,1.43776E15,1.297021786E7,1.43777E15,1.43776E15,"Normal"
6.0,9.0112487E7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066583447,1.80224974E7,2.467772619E7,4.5055666E7,392.0,9.0112018E7,4.5056009E7,69.29646456,4.5056058E7,4.505596E7,9.0112045E7,4.50560225E7,159.0990258,4.5056135E7,4.505591E7,0.0,0.0,0.0,0.0,60.0,60.0,0.033291724,0.033291724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2373.0,1315.0,0.0,20.0,0.0,0.0,0.0,0.0,1.43777E15,3.678757679E7,1.43777E15,1.43776E15,"Normal"
6.0,1.04887796E8,3.0,5.0,0.0,154.0,0.0,0.0,0.0,0.0,154.0,0.0,30.8,68.87089371,1.468235637,0.076271981,1.498397086E7,2.123942016E7,4.5055613E7,94.0,9.0111963E7,4.50559815E7,88.38834765,4.5056044E7,4.5055919E7,1.04887351E8,2.622183775E7,2.256880434E7,4.5056052E7,94.0,0.0,0.0,0.0,0.0,60.0,100.0,0.028601993,0.047669988,0.0,154.0,17.11111111,51.33333333,2635.111111,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,19.25,0.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2640.0,2640.0,0.0,20.0,0.0,0.0,0.0,0.0,1.43777E15,4.160460651E7,1.43777E15,1.44E15,"Normal"
6.0,1.19994993E8,268.0,252.0,12791.0,138684.0,308.0,0.0,47.72761194,75.91373765,1460.0,0.0,550.3333333,587.9155968,1262.344338,4.333514149,231204.2254,980730.1762,8286094.0,7.0,1.19994993E8,449419.4494,1333703.185,8324473.0,7.0,1.19994548E8,478065.9283,1372052.062,8286094.0,32.0,1.0,0.0,0.0,0.0,5360.0,5040.0,2.233426523,2.100087626,0.0,1460.0,290.9635317,482.6497024,232950.7352,0.0,0.0,0.0,224.0,520.0,0.0,0.0,0.0,0.0,291.5230769,47.72761194,550.3333333,0.0,0.0,0.0,0.0,14.0,4016.0,0.0,24.0,0.0,266.0,21627.0,9520.0,99.0,20.0,0.0,0.0,0.0,0.0,1.43777E15,3.604731472E7,1.43777E15,1.43777E15,"Normal"
6.0,1.19985238E8,295.0,306.0,169930.0,26441.0,1460.0,0.0,576.0338983,608.4485279,821.0,0.0,86.40849673,185.0639228,1636.626332,5.008949518,199975.3967,670150.4883,6325336.0,8.0,1.19985025E8,408112.3299,916511.639,6325686.0,17.0,1.19984759E8,393392.6525,899547.3322,6325570.0,8.0,0.0,0.0,0.0,0.0,5900.0,6120.0,2.458635787,2.550313731,0.0,1460.0,328.6229236,510.4196039,260528.1721,0.0,0.0,0.0,237.0,601.0,0.0,0.0,0.0,1.0,329.1697171,576.0338983,86.40849673,0.0,0.0,0.0,0.0,9.0,5143.0,0.0,282.0,0.0,43.0,21142.0,8323.0,214.0,20.0,0.0,0.0,0.0,0.0,1.43777E15,3.507890264E7,1.43777E15,1.43777E15,"Normal"
6.0,9.0112533E7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066583413,1.80225066E7,2.467774472E7,4.5055836E7,367.0,9.0112096E7,4.5056048E7,219.2031022,4.5056203E7,4.5055893E7,9.0112047E7,4.50560235E7,352.8462838,4.5056273E7,4.5055774E7,0.0,0.0,0.0,0.0,60.0,60.0,0.033291707,0.033291707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14626.0,5386.0,0.0,20.0,0.0,0.0,0.0,0.0,1.43777E15,3.678761108E7,1.43777E15,1.43777E15,"Normal"
6.0,1.16323317E8,306.0,312.0,164774.0,26265.0,1460.0,0.0,538.4771242,606.0717924,890.0,0.0,84.18269231,177.961958,1642.310458,5.312778349,188530.4976,661103.8453,4322399.0,5.0,1.16322905E8,381386.5738,904671.2932,4322610.0,16.0,1.16322992E8,374028.9132,894169.3516,4322834.0,5.0,0.0,0.0,0.0,0.0,6120.0,6240.0,2.630598988,2.682179361,0.0,1460.0,310.9838449,500.9515894,250952.4949,0.0,0.0,0.0,245.0,618.0,0.0,0.0,0.0,1.0,311.487055,538.4771242,84.18269231,0.0,0.0,0.0,0.0,12.0,5101.0,0.0,266.0,0.0,42.0,21142.0,8323.0,208.0,20.0,0.0,0.0,0.0,0.0,1.43777E15,3.406329332E7,1.43777E15,1.43777E15,"Normal"
6.0,9.1065124E7,8.0,8.0,2911.0,1060.0,1460.0,0.0,363.875,633.1159762,991.0,0.0,132.5,347.7256718,43.60615596,0.175698438,6071008.267,1.582628843E7,4.5056022E7,20.0,9.1064787E7,1.300925529E7,2.18893385E7,4.5056267E7,132.0,9.1064746E7,1.300924943E7,2.188933651E7,4.5056359E7,20.0,0.0,0.0,0.0,0.0,160.0,160.0,0.087849219,0.087849219,0.0,1460.0,319.4705882,572.7394824,328030.5147,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,1.0,339.4375,363.875,132.5,0.0,0.0,0.0,0.0,6.0,4119.0,0.0,181.0,0.0,66.0,2640.0,2640.0,3.0,20.0,0.0,0.0,0.0,0.0,1.43777E15,2.77460909E7,1.43777E15,1.43777E15,"Normal"
6.0,9.0112279E7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066583601,1.80224558E7,2.467778561E7,4.5055765E7,247.0,9.0112032E7,4.5056016E7,121.6223664,4.5056102E7,4.505593E7,9.0111815E7,4.50559075E7,147.7853173,4.5056012E7,4.5055803E7,0.0,0.0,0.0,0.0,60.0,60.0,0.0332918,0.0332918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2373.0,1315.0,0.0,20.0,0.0,0.0,0.0,0.0,1.44E15,3.678761843E7,1.43777E15,1.43777E15,"Normal"
